question,answer,wrong_answer,A,B,C,D,TFQs,LFGQs,MCQs,3_MC,2_MC
引起早产最常见的原因是,下生殖器及泌尿道感染,"['子宫畸形', '急性肾盂肾炎', '胎盘早剥']",子宫畸形, 急性肾盂肾炎, 胎盘早剥,下生殖器及泌尿道感染,引起早产最常见的原因是下生殖器及泌尿道感染吗？回答'是'或者'不是'即可。,引起早产最常见的原因是什么？回答一句话即可。,请选择一个正确选项。引起早产最常见的原因是：A 子宫畸形 ，B  急性肾盂肾炎 ，C  胎盘早剥，D 下生殖器及泌尿道感染。只能选择一个选项，禁止解释。,请选择一个正确选项。引起早产最常见的原因是：A 子宫畸形 ，B  急性肾盂肾炎 ，C 下生殖器及泌尿道感染。只能选择一个选项，禁止解释。,请选择一个正确选项。引起早产最常见的原因是：A 子宫畸形 ，B 下生殖器及泌尿道感染。只能选择一个选项，禁止解释。
前置胎盘时的阴道流血特征是,无痛性阴道流血,"['阴道流血常有外伤史', '有痛性阴道流血', '阴道流血量与贫血严重程度不相符']",阴道流血常有外伤史, 有痛性阴道流血, 阴道流血量与贫血严重程度不相符,无痛性阴道流血,前置胎盘时会出现无痛性阴道流血吗？回答'是'或者'不是'即可。,前置胎盘时的阴道流血特征是什么？回答一句话即可。,请选择一个正确选项。前置胎盘时的阴道流血特征是：A 阴道流血常有外伤史 ，B  有痛性阴道流血 ，C  阴道流血量与贫血严重程度不相符，D 无痛性阴道流血。只能选择一个选项，禁止解释。,请选择一个正确选项。前置胎盘时的阴道流血特征是：A 阴道流血常有外伤史 ，B  有痛性阴道流血 ，C 无痛性阴道流血。只能选择一个选项，禁止解释。,请选择一个正确选项。前置胎盘时的阴道流血特征是：A 阴道流血常有外伤史 ，B 无痛性阴道流血。只能选择一个选项，禁止解释。
经产妇，足月活胎可经阴道娩出的胎位是,枕右后位,"['肩右后位', '颏左后位', '颏右后位']",肩右后位, 颏左后位, 颏右后位,枕右后位,经产妇，足月活胎可经阴道娩出的胎位是枕右后位吗？回答'是'或者'不是'即可。,经产妇，足月活胎可经阴道娩出的胎位是什么？回答一句话即可。,请选择一个正确选项。经产妇，足月活胎可经阴道娩出的胎位是：A 肩右后位 ，B  颏左后位 ，C  颏右后位，D 枕右后位。只能选择一个选项，禁止解释。,请选择一个正确选项。经产妇，足月活胎可经阴道娩出的胎位是：A 肩右后位 ，B  颏左后位 ，C 枕右后位。只能选择一个选项，禁止解释。,请选择一个正确选项。经产妇，足月活胎可经阴道娩出的胎位是：A 肩右后位 ，B 枕右后位。只能选择一个选项，禁止解释。
系统性红斑狼疮的抗核抗体谱检查中敏感性最高的是,抗核抗体,"['抗Sm抗体', '抗Ro抗体', '抗La抗体']",抗Sm抗体, 抗Ro抗体, 抗La抗体,抗核抗体,系统性红斑狼疮的抗核抗体谱检查中敏感性最高的是抗核抗原吗？回答'是'或者'不是'即可。,系统性红斑狼疮的抗核抗体谱检查中敏感性最高的是什么？回答一句话即可。,请选择一个正确选项。系统性红斑狼疮的抗核抗体谱检查中敏感性最高的是：A 抗Sm抗体 ，B  抗Ro抗体 ，C  抗La抗体，D 抗核抗体。只能选择一个选项，禁止解释。,请选择一个正确选项。系统性红斑狼疮的抗核抗体谱检查中敏感性最高的是：A 抗Sm抗体 ，B  抗Ro抗体 ，C 抗核抗体。只能选择一个选项，禁止解释。,请选择一个正确选项。系统性红斑狼疮的抗核抗体谱检查中敏感性最高的是：A 抗Sm抗体 ，B 抗核抗体。只能选择一个选项，禁止解释。
子宫颈癌好发部位是,子宫颈外口,"['子宫颈管', '子宫颈前唇', '子宫颈后唇']",子宫颈管, 子宫颈前唇, 子宫颈后唇,子宫颈外口,子宫颈癌好发部位是子宫颈外口吗？回答'是'或者'不是'即可。,子宫颈癌好发部位是什么？回答一句话即可。,请选择一个正确选项。子宫颈癌好发部位是：A 子宫颈管 ，B  子宫颈前唇 ，C  子宫颈后唇，D 子宫颈外口。只能选择一个选项，禁止解释。,请选择一个正确选项。子宫颈癌好发部位是：A 子宫颈管 ，B  子宫颈前唇 ，C 子宫颈外口。只能选择一个选项，禁止解释。,请选择一个正确选项。子宫颈癌好发部位是：A 子宫颈管 ，B 子宫颈外口。只能选择一个选项，禁止解释。
出生时新生儿身长平均是,50cm,"['40cm', '46cm', '56cm']",40cm, 46cm, 56cm,50cm,出生时新生儿的平均身长是50cm吗？回答'是'或者'不是'即可。,出生时新生儿身长平均是什么？回答一句话即可。,请选择一个正确选项。出生时新生儿身长平均是：A 40cm ，B  46cm ，C  56cm，D 50cm。只能选择一个选项，禁止解释。,请选择一个正确选项。出生时新生儿身长平均是：A 40cm ，B  46cm ，C 50cm。只能选择一个选项，禁止解释。,请选择一个正确选项。出生时新生儿身长平均是：A 40cm ，B 50cm。只能选择一个选项，禁止解释。
卵巢动静脉通过的韧带是,骨盆漏斗韧带,"['主韧带', '宫骶韧带', '阔韧带']",主韧带, 宫骶韧带, 阔韧带,骨盆漏斗韧带,卵巢动静脉通过的韧带是骨盆漏斗韧带吗？回答'是'或者'不是'即可。,卵巢动静脉通过的韧带是什么？回答一句话即可。,请选择一个正确选项。卵巢动静脉通过的韧带是：A 主韧带 ，B  宫骶韧带 ，C  阔韧带，D 骨盆漏斗韧带。只能选择一个选项，禁止解释。,请选择一个正确选项。卵巢动静脉通过的韧带是：A 主韧带 ，B  宫骶韧带 ，C 骨盆漏斗韧带。只能选择一个选项，禁止解释。,请选择一个正确选项。卵巢动静脉通过的韧带是：A 主韧带 ，B 骨盆漏斗韧带。只能选择一个选项，禁止解释。
月经周期能够正反馈作用于下丘脑-垂体的激素为,雌激素,"['雄激素', '甲状腺素', '促性腺激素']",雄激素, 甲状腺素, 促性腺激素,雌激素,月经周期能够正反馈作用于下丘脑-垂体的激素为雌激素吗？回答'是'或者'不是'即可。,月经周期能够正反馈作用于下丘脑-垂体的激素为什么？回答一句话即可。,请选择一个正确选项。月经周期能够正反馈作用于下丘脑-垂体的激素为：A 雄激素 ，B  甲状腺素 ，C  促性腺激素，D 雌激素。只能选择一个选项，禁止解释。,请选择一个正确选项。月经周期能够正反馈作用于下丘脑-垂体的激素为：A 雄激素 ，B  甲状腺素 ，C 雌激素。只能选择一个选项，禁止解释。,请选择一个正确选项。月经周期能够正反馈作用于下丘脑-垂体的激素为：A 雄激素 ，B 雌激素。只能选择一个选项，禁止解释。
在胎儿体内合成最早,IgM,"['IgG', 'sIgA', 'IgE']",IgG, sIgA, IgE,IgM,在胎儿体内合成最早的是IgM吗？回答'是'或者'不是'即可。,在胎儿体内合成最早的是IgM吗？回答一句话即可。,请选择一个正确选项。在胎儿体内合成最早：A IgG ，B  sIgA ，C  IgE，D IgM。只能选择一个选项，禁止解释。,请选择一个正确选项。在胎儿体内合成最早：A IgG ，B  sIgA ，C IgM。只能选择一个选项，禁止解释。,请选择一个正确选项。在胎儿体内合成最早：A IgG ，B IgM。只能选择一个选项，禁止解释。
卵巢肿瘤最常见的并发症是,蒂扭转,"['破裂', '感染', '囊性变']",破裂, 感染, 囊性变,蒂扭转,卵巢肿瘤最常见的并发症是蒂扭转吗？回答'是'或者'不是'即可。,卵巢肿瘤最常见的并发症是什么？回答一句话即可。,请选择一个正确选项。卵巢肿瘤最常见的并发症是：A 破裂 ，B  感染 ，C  囊性变，D 蒂扭转。只能选择一个选项，禁止解释。,请选择一个正确选项。卵巢肿瘤最常见的并发症是：A 破裂 ，B  感染 ，C 蒂扭转。只能选择一个选项，禁止解释。,请选择一个正确选项。卵巢肿瘤最常见的并发症是：A 破裂 ，B 蒂扭转。只能选择一个选项，禁止解释。
早期流产最常见的原因是,胚胎染色体异常,"['孕妇黄体功能不足', '孕妇生殖器官异常', '孕妇免疫功能异常']",孕妇黄体功能不足, 孕妇生殖器官异常, 孕妇免疫功能异常,胚胎染色体异常,早期流产最常见的原因是胚胎染色体异常吗？回答'是'或者'不是'即可。,早期流产最常见的原因是什么？回答一句话即可。,请选择一个正确选项。早期流产最常见的原因是：A 孕妇黄体功能不足 ，B  孕妇生殖器官异常 ，C  孕妇免疫功能异常，D 胚胎染色体异常。只能选择一个选项，禁止解释。,请选择一个正确选项。早期流产最常见的原因是：A 孕妇黄体功能不足 ，B  孕妇生殖器官异常 ，C 胚胎染色体异常。只能选择一个选项，禁止解释。,请选择一个正确选项。早期流产最常见的原因是：A 孕妇黄体功能不足 ，B 胚胎染色体异常。只能选择一个选项，禁止解释。
前置胎盘时阴道出血特征是,无痛性阴道出血,"['有痛性阴道出血', '阴道出血常与外伤有关', '宫缩时阴道出血停止']",有痛性阴道出血, 阴道出血常与外伤有关, 宫缩时阴道出血停止,无痛性阴道出血,前置胎盘时阴道出血的特征是无痛性阴道出血吗？回答'是'或者'不是'即可。,前置胎盘时阴道出血特征是什么？回答一句话即可。,请选择一个正确选项。前置胎盘时阴道出血特征是：A 有痛性阴道出血 ，B  阴道出血常与外伤有关 ，C  宫缩时阴道出血停止，D 无痛性阴道出血。只能选择一个选项，禁止解释。,请选择一个正确选项。前置胎盘时阴道出血特征是：A 有痛性阴道出血 ，B  阴道出血常与外伤有关 ，C 无痛性阴道出血。只能选择一个选项，禁止解释。,请选择一个正确选项。前置胎盘时阴道出血特征是：A 有痛性阴道出血 ，B 无痛性阴道出血。只能选择一个选项，禁止解释。
与动、静脉血栓形成及反复流产相关的自身抗体是,抗心磷脂抗体,"['抗SSA抗体', '抗核抗体', '抗Sm抗体']",抗SSA抗体, 抗核抗体, 抗Sm抗体,抗心磷脂抗体,与动、静脉血栓形成及反复流产相关的自身抗体是抗心磷脂抗体吗？回答'是'或者'不是'即可。,与动、静脉血栓形成及反复流产相关的自身抗体是什么？回答一句话即可。,请选择一个正确选项。与动、静脉血栓形成及反复流产相关的自身抗体是：A 抗SSA抗体 ，B  抗核抗体 ，C  抗Sm抗体，D 抗心磷脂抗体。只能选择一个选项，禁止解释。,请选择一个正确选项。与动、静脉血栓形成及反复流产相关的自身抗体是：A 抗SSA抗体 ，B  抗核抗体 ，C 抗心磷脂抗体。只能选择一个选项，禁止解释。,请选择一个正确选项。与动、静脉血栓形成及反复流产相关的自身抗体是：A 抗SSA抗体 ，B 抗心磷脂抗体。只能选择一个选项，禁止解释。
乳房胀痛和肿块，疼痛与月经周期有关系的是,乳腺囊性增生病,"['乳腺纤维腺瘤', '急性乳腺炎', '乳腺癌']",乳腺纤维腺瘤, 急性乳腺炎, 乳腺癌,乳腺囊性增生病,乳房胀痛和肿块，疼痛与月经周期有关系的是乳腺囊性增生病吗？回答'是'或者'不是'即可。,乳房胀痛和肿块，疼痛与月经周期有关系的是什么？回答一句话即可。,请选择一个正确选项。乳房胀痛和肿块，疼痛与月经周期有关系的是：A 乳腺纤维腺瘤 ，B  急性乳腺炎 ，C  乳腺癌，D 乳腺囊性增生病。只能选择一个选项，禁止解释。,请选择一个正确选项。乳房胀痛和肿块，疼痛与月经周期有关系的是：A 乳腺纤维腺瘤 ，B  急性乳腺炎 ，C 乳腺囊性增生病。只能选择一个选项，禁止解释。,请选择一个正确选项。乳房胀痛和肿块，疼痛与月经周期有关系的是：A 乳腺纤维腺瘤 ，B 乳腺囊性增生病。只能选择一个选项，禁止解释。
新生儿血液中免疫球蛋白从母体通过胎盘获得的为,IgG,"['IgD', 'IgA', 'IgM']",IgD, IgA, IgM,IgG,新生儿血液中免疫球蛋白从母体通过胎盘获得的为IgG吗？回答'是'或者'不是'即可。,新生儿血液中免疫球蛋白从母体通过胎盘获得的为什么？回答一句话即可。,请选择一个正确选项。新生儿血液中免疫球蛋白从母体通过胎盘获得的为：A IgD ，B  IgA ，C  IgM，D IgG。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿血液中免疫球蛋白从母体通过胎盘获得的为：A IgD ，B  IgA ，C IgG。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿血液中免疫球蛋白从母体通过胎盘获得的为：A IgD ，B IgG。只能选择一个选项，禁止解释。
胚胎时期起重要防御作用的lg是,IgG,"['IgM', 'IgD', 'IgE']",IgM, IgD, IgE,IgG,胚胎时期起重要防御作用的IgG是IgA吗？回答'是'或者'不是'即可。,胚胎时期起重要防御作用的lg是什么？回答一句话即可。,请选择一个正确选项。胚胎时期起重要防御作用的lg是：A IgM ，B  IgD ，C  IgE，D IgG。只能选择一个选项，禁止解释。,请选择一个正确选项。胚胎时期起重要防御作用的lg是：A IgM ，B  IgD ，C IgG。只能选择一个选项，禁止解释。,请选择一个正确选项。胚胎时期起重要防御作用的lg是：A IgM ，B IgG。只能选择一个选项，禁止解释。
急性呼吸窘迫综合征所致顽固性低氧血症的最主要机制是,分流率增加,"['弥散功能障碍', '通气/血流比例失调', '呼吸功增加']",弥散功能障碍, 通气/血流比例失调, 呼吸功增加,分流率增加,急性呼吸窘迫综合征所致顽固性低氧血症的最主要机制是分流率增加吗？回答'是'或者'不是'即可。,急性呼吸窘迫综合征所致顽固性低氧血症的最主要机制是什么？回答一句话即可。,请选择一个正确选项。急性呼吸窘迫综合征所致顽固性低氧血症的最主要机制是：A 弥散功能障碍 ，B  通气/血流比例失调 ，C  呼吸功增加，D 分流率增加。只能选择一个选项，禁止解释。,请选择一个正确选项。急性呼吸窘迫综合征所致顽固性低氧血症的最主要机制是：A 弥散功能障碍 ，B  通气/血流比例失调 ，C 分流率增加。只能选择一个选项，禁止解释。,请选择一个正确选项。急性呼吸窘迫综合征所致顽固性低氧血症的最主要机制是：A 弥散功能障碍 ，B 分流率增加。只能选择一个选项，禁止解释。
最容易刺激机体产生抗体的物质是,蛋白质,"['单糖', '核苷酸', '脂类']",单糖, 核苷酸, 脂类,蛋白质,最容易刺激机体产生抗体的物质是蛋白质吗？回答'是'或者'不是'即可。,最容易刺激机体产生抗体的物质是什么？回答一句话即可。,请选择一个正确选项。最容易刺激机体产生抗体的物质是：A 单糖 ，B  核苷酸 ，C  脂类，D 蛋白质。只能选择一个选项，禁止解释。,请选择一个正确选项。最容易刺激机体产生抗体的物质是：A 单糖 ，B  核苷酸 ，C 蛋白质。只能选择一个选项，禁止解释。,请选择一个正确选项。最容易刺激机体产生抗体的物质是：A 单糖 ，B 蛋白质。只能选择一个选项，禁止解释。
对疾病早期诊断有帮助的抗体是,IgM,"['IgA', 'IgG', 'IgE']",IgA, IgG, IgE,IgM,对疾病早期诊断有帮助的抗体是IgM吗？回答'是'或者'不是'即可。,对疾病早期诊断有帮助的抗体是什么？回答一句话即可。,请选择一个正确选项。对疾病早期诊断有帮助的抗体是：A IgA ，B  IgG ，C  IgE，D IgM。只能选择一个选项，禁止解释。,请选择一个正确选项。对疾病早期诊断有帮助的抗体是：A IgA ，B  IgG ，C IgM。只能选择一个选项，禁止解释。,请选择一个正确选项。对疾病早期诊断有帮助的抗体是：A IgA ，B IgM。只能选择一个选项，禁止解释。
提示体内乙型肝炎病毒处于复制状态的抗体是,抗-HBc IgM,"['抗-HBs', '抗-HBe', '抗-HBV']",抗-HBs, 抗-HBe, 抗-HBV,抗-HBc IgM,提示体内乙型肝炎病毒处于复制状态的抗体是抗-HBc IgM吗？回答'是'或者'不是'即可。,提示体内乙型肝炎病毒处于复制状态的抗体是什么？回答一句话即可。,请选择一个正确选项。提示体内乙型肝炎病毒处于复制状态的抗体是：A 抗-HBs ，B  抗-HBe ，C  抗-HBV，D 抗-HBc IgM。只能选择一个选项，禁止解释。,请选择一个正确选项。提示体内乙型肝炎病毒处于复制状态的抗体是：A 抗-HBs ，B  抗-HBe ，C 抗-HBc IgM。只能选择一个选项，禁止解释。,请选择一个正确选项。提示体内乙型肝炎病毒处于复制状态的抗体是：A 抗-HBs ，B 抗-HBc IgM。只能选择一个选项，禁止解释。
新生儿败血症的非特异性表现是,精神欠佳,"['体温不稳定', '黄疸退而复现', '食欲欠佳']",体温不稳定, 黄疸退而复现, 食欲欠佳,精神欠佳,新生儿败血症的非特异性表现是精神欠佳吗？回答'是'或者'不是'即可。,新生儿败血症的非特异性表现是什么？回答一句话即可。,请选择一个正确选项。新生儿败血症的非特异性表现是：A 体温不稳定 ，B  黄疸退而复现 ，C  食欲欠佳，D 精神欠佳。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿败血症的非特异性表现是：A 体温不稳定 ，B  黄疸退而复现 ，C 精神欠佳。只能选择一个选项，禁止解释。,请选择一个正确选项。新生儿败血症的非特异性表现是：A 体温不稳定 ，B 精神欠佳。只能选择一个选项，禁止解释。
与新生儿肾脏的生理特点不相符的是,尿液浓缩功能接近成人,"['肾小球滤过率低', '肾排钠能力差', '肾分泌氨、氢的能力低']",肾小球滤过率低, 肾排钠能力差, 肾分泌氨、氢的能力低,尿液浓缩功能接近成人,与新生儿肾脏的生理特点不相符的是尿液浓缩功能接近成人吗？回答'是'或者'不是'即可。,与新生儿肾脏的生理特点不相符的是什么？回答一句话即可。,请选择一个正确选项。与新生儿肾脏的生理特点不相符的是：A 肾小球滤过率低 ，B  肾排钠能力差 ，C  肾分泌氨、氢的能力低，D 尿液浓缩功能接近成人。只能选择一个选项，禁止解释。,请选择一个正确选项。与新生儿肾脏的生理特点不相符的是：A 肾小球滤过率低 ，B  肾排钠能力差 ，C 尿液浓缩功能接近成人。只能选择一个选项，禁止解释。,请选择一个正确选项。与新生儿肾脏的生理特点不相符的是：A 肾小球滤过率低 ，B 尿液浓缩功能接近成人。只能选择一个选项，禁止解释。
随月经周期疼痛的乳腺肿块最可能是,乳房囊性增生病,"['乳腺癌', '乳腺纤维腺瘤', '乳房脂肪坏死']",乳腺癌, 乳腺纤维腺瘤, 乳房脂肪坏死,乳房囊性增生病,随月经周期疼痛的乳腺肿块最可能是乳房囊性增生病吗？回答'是'或者'不是'即可。,随月经周期疼痛的乳腺肿块最可能是什么？回答一句话即可。,请选择一个正确选项。随月经周期疼痛的乳腺肿块最可能是：A 乳腺癌 ，B  乳腺纤维腺瘤 ，C  乳房脂肪坏死，D 乳房囊性增生病。只能选择一个选项，禁止解释。,请选择一个正确选项。随月经周期疼痛的乳腺肿块最可能是：A 乳腺癌 ，B  乳腺纤维腺瘤 ，C 乳房囊性增生病。只能选择一个选项，禁止解释。,请选择一个正确选项。随月经周期疼痛的乳腺肿块最可能是：A 乳腺癌 ，B 乳房囊性增生病。只能选择一个选项，禁止解释。
卵巢上皮性癌相关的肿瘤标志物是,CA125,"['AFP', 'PSA', 'HCG']",AFP, PSA, HCG,CA125,卵巢上皮性癌相关的肿瘤标志物是CA125吗？回答'是'或者'不是'即可。,卵巢上皮性癌相关的肿瘤标志物是什么？回答一句话即可。,请选择一个正确选项。卵巢上皮性癌相关的肿瘤标志物是：A AFP ，B  PSA ，C  HCG，D CA125。只能选择一个选项，禁止解释。,请选择一个正确选项。卵巢上皮性癌相关的肿瘤标志物是：A AFP ，B  PSA ，C CA125。只能选择一个选项，禁止解释。,请选择一个正确选项。卵巢上皮性癌相关的肿瘤标志物是：A AFP ，B CA125。只能选择一个选项，禁止解释。
符合多囊卵巢综合征内分泌特点的是,LH/FSH≥2,"['FSH、LH值均≤5U/L', 'PRL正常，FSH＞40U/L', 'E1/E2＜1']",FSH、LH值均≤5U/L, PRL正常，FSH＞40U/L, E1/E2＜1,LH/FSH≥2,符合多囊卵巢综合征内分泌特点的是LH/FSH≥2吗？回答'是'或者'不是'即可。,符合多囊卵巢综合征内分泌特点的是什么？回答一句话即可。,请选择一个正确选项。符合多囊卵巢综合征内分泌特点的是：A FSH、LH值均≤5U/L ，B  PRL正常，FSH＞40U/L ，C  E1/E2＜1，D LH/FSH≥2。只能选择一个选项，禁止解释。,请选择一个正确选项。符合多囊卵巢综合征内分泌特点的是：A FSH、LH值均≤5U/L ，B  PRL正常，FSH＞40U/L ，C LH/FSH≥2。只能选择一个选项，禁止解释。,请选择一个正确选项。符合多囊卵巢综合征内分泌特点的是：A FSH、LH值均≤5U/L ，B LH/FSH≥2。只能选择一个选项，禁止解释。
婴儿宜添加富含铁质食物的月龄是,4个月,"['生后2周', '8个月', '12个月']",生后2周, 8个月, 12个月,4个月,婴儿宜添加富含铁质食物的月龄是4个月吗？回答'是'或者'不是'即可。,婴儿宜添加富含铁质食物的月龄是什么？回答一句话即可。,请选择一个正确选项。婴儿宜添加富含铁质食物的月龄是：A 生后2周 ，B  8个月 ，C  12个月，D 4个月。只能选择一个选项，禁止解释。,请选择一个正确选项。婴儿宜添加富含铁质食物的月龄是：A 生后2周 ，B  8个月 ，C 4个月。只能选择一个选项，禁止解释。,请选择一个正确选项。婴儿宜添加富含铁质食物的月龄是：A 生后2周 ，B 4个月。只能选择一个选项，禁止解释。
输卵管绝育术的原理是,阻止精子与卵子相遇,"['杀灭精子', '降低精子存活率', '抑制排卵']",杀灭精子, 降低精子存活率, 抑制排卵,阻止精子与卵子相遇,输卵管绝育术的原理是阻止精子和卵子相遇吗？回答'是'或者'不是'即可。,输卵管绝育术的原理是什么？回答一句话即可。,请选择一个正确选项。输卵管绝育术的原理是：A 杀灭精子 ，B  降低精子存活率 ，C  抑制排卵，D 阻止精子与卵子相遇。只能选择一个选项，禁止解释。,请选择一个正确选项。输卵管绝育术的原理是：A 杀灭精子 ，B  降低精子存活率 ，C 阻止精子与卵子相遇。只能选择一个选项，禁止解释。,请选择一个正确选项。输卵管绝育术的原理是：A 杀灭精子 ，B 阻止精子与卵子相遇。只能选择一个选项，禁止解释。
卵巢表面的组织为,生发上皮,"['腹膜', '卵巢白膜', '卵巢皮质']",腹膜, 卵巢白膜, 卵巢皮质,生发上皮,卵巢表面的组织是生发上皮吗？回答'是'或者'不是'即可。,卵巢表面的组织为什么？回答一句话即可。,请选择一个正确选项。卵巢表面的组织为：A 腹膜 ，B  卵巢白膜 ，C  卵巢皮质，D 生发上皮。只能选择一个选项，禁止解释。,请选择一个正确选项。卵巢表面的组织为：A 腹膜 ，B  卵巢白膜 ，C 生发上皮。只能选择一个选项，禁止解释。,请选择一个正确选项。卵巢表面的组织为：A 腹膜 ，B 生发上皮。只能选择一个选项，禁止解释。
急性乳房炎的重要病因是,乳汁淤积加细菌入侵,"['乳腺组织发育不良', '哺乳次数增多', '乳腺分泌障碍']",乳腺组织发育不良, 哺乳次数增多, 乳腺分泌障碍,乳汁淤积加细菌入侵,急性乳房炎的病因是乳汁淤积加细菌入侵吗？回答'是'或者'不是'即可。,急性乳房炎的重要病因是什么？回答一句话即可。,请选择一个正确选项。急性乳房炎的重要病因是：A 乳腺组织发育不良 ，B  哺乳次数增多 ，C  乳腺分泌障碍，D 乳汁淤积加细菌入侵。只能选择一个选项，禁止解释。,请选择一个正确选项。急性乳房炎的重要病因是：A 乳腺组织发育不良 ，B  哺乳次数增多 ，C 乳汁淤积加细菌入侵。只能选择一个选项，禁止解释。,请选择一个正确选项。急性乳房炎的重要病因是：A 乳腺组织发育不良 ，B 乳汁淤积加细菌入侵。只能选择一个选项，禁止解释。
刚出生的新生儿血红蛋白量为,150～220g/L,"['120～180g/L', '110～170g/L', '130～190g/L']",120～180g/L, 110～170g/L, 130～190g/L,150～220g/L,刚出生的新生儿血红蛋白量在150～220g/L之间吗？回答'是'或者'不是'即可。,刚出生的新生儿血红蛋白量为什么？回答一句话即可。,请选择一个正确选项。刚出生的新生儿血红蛋白量为：A 120～180g/L ，B  110～170g/L ，C  130～190g/L，D 150～220g/L。只能选择一个选项，禁止解释。,请选择一个正确选项。刚出生的新生儿血红蛋白量为：A 120～180g/L ，B  110～170g/L ，C 150～220g/L。只能选择一个选项，禁止解释。,请选择一个正确选项。刚出生的新生儿血红蛋白量为：A 120～180g/L ，B 150～220g/L。只能选择一个选项，禁止解释。
判断早期宫内妊娠最准确的是,B超检查,"['停经史', '黄体酮试验', '黑加征阳性']",停经史, 黄体酮试验, 黑加征阳性,B超检查,判断早期宫内妊娠最准确的是B超检查吗？回答'是'或者'不是'即可。,判断早期宫内妊娠最准确的是什么？回答一句话即可。,请选择一个正确选项。判断早期宫内妊娠最准确的是：A 停经史 ，B  黄体酮试验 ，C  黑加征阳性，D B超检查。只能选择一个选项，禁止解释。,请选择一个正确选项。判断早期宫内妊娠最准确的是：A 停经史 ，B  黄体酮试验 ，C B超检查。只能选择一个选项，禁止解释。,请选择一个正确选项。判断早期宫内妊娠最准确的是：A 停经史 ，B B超检查。只能选择一个选项，禁止解释。
不用于检测排卵功能的是,肾上腺功能检测,"['B超检测卵巢排卵', '月经周期后半期宫颈黏液检查', '基础体温测定']",B超检测卵巢排卵, 月经周期后半期宫颈黏液检查, 基础体温测定,肾上腺功能检测,不用于检测排卵功能的是肾上腺功能检测吗？回答'是'或者'不是'即可。,不用于检测排卵功能的是什么？回答一句话即可。,请选择一个正确选项。不用于检测排卵功能的是：A B超检测卵巢排卵 ，B  月经周期后半期宫颈黏液检查 ，C  基础体温测定，D 肾上腺功能检测。只能选择一个选项，禁止解释。,请选择一个正确选项。不用于检测排卵功能的是：A B超检测卵巢排卵 ，B  月经周期后半期宫颈黏液检查 ，C 肾上腺功能检测。只能选择一个选项，禁止解释。,请选择一个正确选项。不用于检测排卵功能的是：A B超检测卵巢排卵 ，B 肾上腺功能检测。只能选择一个选项，禁止解释。
类风湿性关节炎患者体内最易检出的自身抗体是,RF因子,"['抗乙酰胆碱受体的自身抗体', '抗TSH受体的抗体', 'HLA抗原']",抗乙酰胆碱受体的自身抗体, 抗TSH受体的抗体, HLA抗原,RF因子,类风湿性关节炎患者体内最易检出的自身抗体是RF因子吗？回答'是'或者'不是'即可。,类风湿性关节炎患者体内最易检出的自身抗体是什么？回答一句话即可。,请选择一个正确选项。类风湿性关节炎患者体内最易检出的自身抗体是：A 抗乙酰胆碱受体的自身抗体 ，B  抗TSH受体的抗体 ，C  HLA抗原，D RF因子。只能选择一个选项，禁止解释。,请选择一个正确选项。类风湿性关节炎患者体内最易检出的自身抗体是：A 抗乙酰胆碱受体的自身抗体 ，B  抗TSH受体的抗体 ，C RF因子。只能选择一个选项，禁止解释。,请选择一个正确选项。类风湿性关节炎患者体内最易检出的自身抗体是：A 抗乙酰胆碱受体的自身抗体 ，B RF因子。只能选择一个选项，禁止解释。
滴虫阴道炎最常见的传播途径是,性直接接触感染,"['经循环感染', '间接接触感染', '经淋巴循环感染']",经循环感染, 间接接触感染, 经淋巴循环感染,性直接接触感染,滴虫阴道炎最常见的传播途径是性直接接触感染吗？回答'是'或者'不是'即可。,滴虫阴道炎最常见的传播途径是什么？回答一句话即可。,请选择一个正确选项。滴虫阴道炎最常见的传播途径是：A 经循环感染 ，B  间接接触感染 ，C  经淋巴循环感染，D 性直接接触感染。只能选择一个选项，禁止解释。,请选择一个正确选项。滴虫阴道炎最常见的传播途径是：A 经循环感染 ，B  间接接触感染 ，C 性直接接触感染。只能选择一个选项，禁止解释。,请选择一个正确选项。滴虫阴道炎最常见的传播途径是：A 经循环感染 ，B 性直接接触感染。只能选择一个选项，禁止解释。
产妇患重症肝炎，其产后出血最常见的原因是,凝血功能障碍,"['子宫收缩乏力', '血小板计数减少', '胎盘残留']",子宫收缩乏力, 血小板计数减少, 胎盘残留,凝血功能障碍,产妇患重症肝炎时，产后出血最常见的原因是凝血功能障碍吗？回答'是'或者'不是'即可。,产妇患重症肝炎，其产后出血最常见的原因是什么？回答一句话即可。,请选择一个正确选项。产妇患重症肝炎，其产后出血最常见的原因是：A 子宫收缩乏力 ，B  血小板计数减少 ，C  胎盘残留，D 凝血功能障碍。只能选择一个选项，禁止解释。,请选择一个正确选项。产妇患重症肝炎，其产后出血最常见的原因是：A 子宫收缩乏力 ，B  血小板计数减少 ，C 凝血功能障碍。只能选择一个选项，禁止解释。,请选择一个正确选项。产妇患重症肝炎，其产后出血最常见的原因是：A 子宫收缩乏力 ，B 凝血功能障碍。只能选择一个选项，禁止解释。
